觀測站ID,觀測站,年,月,時間,平均溫度,最高溫度,最高溫度發生日期,最低溫度,最低溫度發生日期,累積降水量,降雨日數,最大10分鐘風風速,最大10分鐘風發生日期,最大10分鐘風風向,最大瞬間風風速,最大瞬間風發生日期,最大瞬間風風向,平均相對濕度,最小相對濕度,最小相對濕度發生日期,平均測站氣壓,總日照時數
466880,板橋,2015,1,2015/01,16.3,24.5,2015/01/24,8.5,2015/01/24,24.7,8,7.0,2015/01/19,70,15.1,2015/01/19,80,67,36,2015/01/23,1020.7,80.4
466900,淡水,2015,1,2015/01,15.8,24.8,2015/01/06,8.1,2015/01/23,20.5,6,8.1,2015/01/13,140,18.8,2015/01/13,140,72,42,2015/01/24,1020.2,124.9
466910,鞍部,2015,1,2015/01,9.8,20.1,2015/01/06,2.6,2015/01/22,136,13,8.9,2015/01/12,160,20.0,2015/01/13,180,87,44,2015/01/24,926.7,72.1
466920,臺北,2015,1,2015/01,16.7,24.8,2015/01/24,10.3,2015/01/23,20,6,7.7,2015/01/19,80,15.0,2015/01/19,70,67,39,2015/01/23,1018.7,95.7
466930,竹子湖,2015,1,2015/01,11.6,21.1,2015/01/06,5.5,2015/01/01,116,12,8.2,2015/01/07,20,16.8,2015/01/29,20,81,46,2015/01/24,951.4,114.7
466940,基隆,2015,1,2015/01,16.1,22.9,2015/01/06,9.1,2015/01/23,132.2,12,10.4,2015/01/30,10,16.0,2015/01/30,360,72,48,2015/01/24,1019.2,51.8
466950,彭佳嶼,2015,1,2015/01,15.7,22.1,2015/01/06,10.2,2015/01/01,36.5,9,20.5,2015/01/13,120,30.9,2015/01/13,120,70,48,2015/01/22,1011.0,77.7
466990,花蓮,2015,1,2015/01,17.8,25.8,2015/01/06,12.9,2015/01/24,24.5,7,9.6,2015/01/30,40,16.8,2015/01/30,60,72,45,2015/01/22,1019.7,56.0
467050,新屋,2015,1,2015/01,15.6,24.2,2015/01/06,7.1,2015/01/24,18,3,15.7,2015/01/19,40,24.8,2015/01/19,40,74,49,2015/01/22,1019.1,148.0
467060,蘇澳,2015,1,2015/01,16.5,25.8,2015/01/06,9.8,2015/01/23,334.4,13,9.8,2015/01/24,160,19.0,2015/01/01,30,74,42,2015/01/22,1019.5,63.2
467080,宜蘭,2015,1,2015/01,16.2,26.3,2015/01/06,8.9,2015/01/23,64.1,12,9.8,2015/01/14,320,14.6,2015/01/14,340,75,42,2015/01/22,1021.8,79.9
467110,金門,2015,1,2015/01,13.9,22.6,2015/01/06,8.5,2015/01/02,32.5,4,7.8,2015/01/01,70,18.8,2015/01/12,60,65,26,2015/01/22,1020.2,161.7
467300,東吉島,2015,1,2015/01,17.8,23.9,2015/01/06,14.4,2015/01/01,20.7,3,19.0,2015/01/01,30,25.4,2015/01/08,30,72,44,2015/01/23,1014.8,141.3
467350,澎湖,2015,1,2015/01,17.3,23.4,2015/01/05,13.2,2015/01/23,24.8,3,10.5,2015/01/19,40,22.6,2015/01/19,30,73,30,2015/01/22,1019.5,127.4
467410,臺南,2015,1,2015/01,17.8,27.8,2015/01/05,10.6,2015/01/02,13.5,1,9.5,2015/01/14,20,15.6,2015/01/14,30,70,33,2015/01/22,1016.8,195.2
467440,高雄,2015,1,2015/01,19.9,27.4,2015/01/05,14.1,2015/01/02,6,2,6.9,2015/01/14,350,12.9,2015/01/14,20,66,35,2015/01/22,1019.0,199.8
467480,嘉義,2015,1,2015/01,16.8,28.6,2015/01/05,8.0,2015/01/23,6,4,6.8,2015/01/14,10,11.2,2015/01/22,360,75,37,2015/01/22,1016.6,168.5
467490,臺中,2015,1,2015/01,17.1,28.7,2015/01/06,8.2,2015/01/23,12.3,6,5.5,2015/01/30,350,11.2,2015/01/14,10,68,29,2015/01/23,1009.9,203.5
467530,阿里山,2015,1,2015/01,6.7,15.6,2015/01/05,-1.3,2015/01/22,24,4,4.5,2015/01/13,140,12.7,2015/01/13,150,68,15,2015/01/18,765.7,170.0
467540,大武,2015,1,2015/01,19.7,26.0,2015/01/06,14.3,2015/01/03,18.2,7,7.9,2015/01/19,30,14.8,2015/01/19,30,66,46,2015/01/24,1019.6,76.3
467550,玉山,2015,1,2015/01,1.5,14.2,2015/01/18,-12.3,2015/01/22,15.3,4,17.1,2015/01/13,230,26.6,2015/01/29,320,54,14,2015/01/17,641.2,259.4
467571,新竹,2015,1,2015/01,16.0,24.5,2015/01/06,9.1,2015/01/24,22.7,5,7.2,2015/01/19,50,18.3,2015/01/19,40,71,30,2015/01/24,1017.7,167.6
467590,恆春,2015,1,2015/01,20.8,27.9,2015/01/06,17.2,2015/01/02,34.5,3,12.9,2015/01/12,50,28.2,2015/01/12,30,62,46,2015/01/02,1017.0,189.8
467610,成功,2015,1,2015/01,18.3,26.4,2015/01/06,13.8,2015/01/16,55.7,17,8.9,2015/01/28,30,16.3,2015/01/19,40,70,49,2015/01/09,1016.3,40.6
467620,蘭嶼,2015,1,2015/01,17.5,23.0,2015/01/26,14.0,2015/01/02,86,14,21.1,2015/01/28,10,33.5,2015/01/19,10,76,52,2015/01/01,982.0,50.4
467650,日月潭,2015,1,2015/01,14.2,24.5,2015/01/06,8.5,2015/01/23,15,6,5.2,2015/01/25,140,6.9,2015/01/29,260,76,20,2015/01/23,906.1,174.8
467660,臺東,2015,1,2015/01,19.0,26.8,2015/01/06,13.8,2015/01/02,42.1,9,5.4,2015/01/30,40,14.3,2015/01/30,40,68,43,2015/01/24,1020.1,74.6
467990,馬祖,2015,1,2015/01,11.3,19.1,2015/01/21,6.9,2015/01/31,45.2,4,8.8,2015/01/13,10,20.0,2015/01/12,10,77,43,2015/01/19,1013.4,138.0
466880,板橋,2015,2,2015/02,17.0,26.8,2015/02/15,9.9,2015/02/09,95.5,11,6.5,2015/02/19,70,14.2,2015/02/19,50,72,32,2015/02/12,1018.7,66.3
466900,淡水,2015,2,2015/02,16.3,27.2,2015/02/27,9.4,2015/02/09,34,8,5.9,2015/02/14,150,13.5,2015/02/19,90,77,36,2015/02/13,1018.1,91.5
466910,鞍部,2015,2,2015/02,11.3,21.6,2015/02/15,2.5,2015/02/09,112.7,18,8.9,2015/02/12,360,17.3,2015/02/18,160,91,51,2015/02/13,925.3,71.0
466920,臺北,2015,2,2015/02,17.3,27.6,2015/02/15,9.8,2015/02/09,90,11,8.1,2015/02/19,70,14.6,2015/02/27,60,72,34,2015/02/12,1016.8,78.9
466930,竹子湖,2015,2,2015/02,13.0,23.1,2015/02/15,4.3,2015/02/09,90.5,15,7.1,2015/02/18,20,16.1,2015/02/19,360,85,44,2015/02/12,949.8,99.0
466940,基隆,2015,2,2015/02,16.5,26.2,2015/02/21,10.0,2015/02/13,187.4,17,11.0,2015/02/08,20,16.1,2015/02/08,360,78,40,2015/02/12,1017.1,56.7
466950,彭佳嶼,2015,2,2015/02,16.2,22.7,2015/02/21,9.8,2015/02/09,29.3,10,17.2,2015/02/14,160,23.8,2015/02/14,180,75,37,2015/02/12,1008.8,58.1
466990,花蓮,2015,2,2015/02,18.5,27.1,2015/02/26,11.5,2015/02/09,13.1,12,10.4,2015/02/08,50,18.3,2015/02/08,40,79,50,2015/02/12,1017.7,69.2
467050,新屋,2015,2,2015/02,15.8,26.8,2015/02/21,7.8,2015/02/13,81,8,13.3,2015/02/08,40,20.6,2015/02/08,40,79,37,2015/02/13,1017.5,89.9
467060,蘇澳,2015,2,2015/02,17.1,25.6,2015/02/25,9.6,2015/02/08,207,21,7.9,2015/02/14,160,20.8,2015/02/08,80,81,40,2015/02/12,1017.3,71.4
467080,宜蘭,2015,2,2015/02,17.1,27.2,2015/02/26,9.2,2015/02/09,56.9,17,9.6,2015/02/12,320,17.2,2015/02/12,320,80,33,2015/02/12,1019.6,76.5
467110,金門,2015,2,2015/02,14.5,23.8,2015/02/17,6.7,2015/02/10,55.2,5,8.4,2015/02/08,70,17.2,2015/02/08,60,69,22,2015/02/12,1018.4,113.6
467300,東吉島,2015,2,2015/02,18.2,26.3,2015/02/26,12.6,2015/02/09,56.2,2,19.8,2015/02/08,30,26.5,2015/02/08,20,76,36,2015/02/13,1013.9,141.7
467350,澎湖,2015,2,2015/02,17.8,26.1,2015/02/26,12.1,2015/02/09,19.7,2,11.0,2015/02/08,40,23.5,2015/02/08,30,76,37,2015/02/12,1018.3,123.2
467410,臺南,2015,2,2015/02,18.9,29.2,2015/02/26,10.5,2015/02/10,22,3,9.9,2015/02/05,30,17.2,2015/02/05,20,73,37,2015/02/12,1015.8,186.6
467440,高雄,2015,2,2015/02,20.8,29.4,2015/02/26,12.3,2015/02/10,38,3,6.7,2015/02/05,310,12.4,2015/02/12,340,69,37,2015/02/14,1017.9,194.8
467480,嘉義,2015,2,2015/02,18.1,28.3,2015/02/26,9.3,2015/02/10,30.1,3,7.3,2015/02/05,360,12.7,2015/02/05,350,77,35,2015/02/13,1015.5,143.5
467490,臺中,2015,2,2015/02,18.1,28.9,2015/02/28,9.6,2015/02/13,21.2,4,6.2,2015/02/05,10,14.4,2015/02/05,350,71,26,2015/02/14,1008.8,160.3
467530,阿里山,2015,2,2015/02,6.6,16.8,2015/02/27,-1.6,2015/02/10,55.1,5,4.0,2015/02/14,150,9.9,2015/02/22,320,78,18,2015/02/13,765.6,117.3
467540,大武,2015,2,2015/02,20.5,28.2,2015/02/26,12.1,2015/02/10,14.1,5,7.3,2015/02/08,30,15.1,2015/02/08,40,71,49,2015/02/13,1018.0,104.2
467550,玉山,2015,2,2015/02,-1.9,11.6,2015/02/02,-9.3,2015/02/11,13,6,13.2,2015/02/09,280,24.3,2015/02/15,270,80,14,2015/02/02,640.5,124.4
467571,新竹,2015,2,2015/02,16.2,26.3,2015/02/21,9.2,2015/02/13,47.2,12,5.5,2015/02/08,50,14.0,2015/02/08,70,78,31,2015/02/13,1016.4,93.6
467590,恆春,2015,2,2015/02,21.6,29.8,2015/02/25,12.9,2015/02/11,29,2,11.3,2015/02/08,50,23.4,2015/02/09,40,68,49,2015/02/13,1016.0,178.9
467610,成功,2015,2,2015/02,19.3,27.5,2015/02/26,13.2,2015/02/11,17.4,11,8.7,2015/02/08,30,16.0,2015/02/08,40,73,48,2015/02/13,1014.5,55.1
467620,蘭嶼,2015,2,2015/02,18.6,25.8,2015/02/26,12.7,2015/02/09,85.7,16,20.9,2015/02/08,10,31.8,2015/02/05,10,80,58,2015/02/02,981.1,72.6
467650,日月潭,2015,2,2015/02,14.7,26.0,2015/02/15,6.4,2015/02/10,10,3,5.2,2015/02/13,280,9.3,2015/02/07,290,79,37,2015/02/13,904.9,145.1
467660,臺東,2015,2,2015/02,20.1,27.5,2015/02/26,13.0,2015/02/10,27.4,5,5.2,2015/02/08,40,14.9,2015/02/08,40,72,46,2015/02/13,1018.3,88.5
467990,馬祖,2015,2,2015/02,11.1,21.4,2015/02/16,4.9,2015/02/10,10,11,8.9,2015/02/08,90,16.9,2015/02/08,80,81,30,2015/02/12,1011.2,81.0
466880,板橋,2015,3,2015/03,18.7,30.7,2015/03/19,11.6,2015/03/11,187.2,13,6.0,2015/03/10,70,13.8,2015/03/24,40,77,43,2015/03/29,1017.4,78.9
466900,淡水,2015,3,2015/03,17.9,28.8,2015/03/31,10.8,2015/03/11,129,9,7.1,2015/03/23,20,15.5,2015/03/23,30,82,39,2015/03/29,1016.8,94.6
466910,鞍部,2015,3,2015/03,13.5,25.5,2015/03/20,5.3,2015/03/01,305.7,14,11.5,2015/03/25,150,24.5,2015/03/25,140,92,47,2015/03/18,924.8,83.7
466920,臺北,2015,3,2015/03,18.9,31.7,2015/03/31,11.4,2015/03/11,182,13,7.2,2015/03/23,80,14.5,2015/03/24,70,80,47,2015/03/18,1015.5,89.3
466930,竹子湖,2015,3,2015/03,15.0,28.9,2015/03/19,6.8,2015/03/01,247.2,13,10.6,2015/03/25,20,19.8,2015/03/24,360,87,42,2015/03/19,949.0,100.4
466940,基隆,2015,3,2015/03,17.8,29.6,2015/03/19,11.2,2015/03/01,410,18,10.7,2015/03/25,10,16.0,2015/03/25,360,83,44,2015/03/19,1016.0,74.7
466950,彭佳嶼,2015,3,2015/03,17.2,26.7,2015/03/31,10.6,2015/03/01,118.8,16,15.4,2015/03/24,60,22.1,2015/03/01,10,83,56,2015/03/22,1007.6,81.9
466990,花蓮,2015,3,2015/03,20.4,28.2,2015/03/31,14.2,2015/03/10,88,13,10.4,2015/03/04,40,18.1,2015/03/04,50,81,54,2015/03/14,1016.4,95.6
467050,新屋,2015,3,2015/03,17.7,27.7,2015/03/31,10.9,2015/03/11,134.5,15,15.2,2015/03/10,40,22.6,2015/03/24,40,87,56,2015/03/30,1016.1,97.3
467060,蘇澳,2015,3,2015/03,18.9,28.8,2015/03/31,12.1,2015/03/10,540.9,18,8.3,2015/03/09,50,19.2,2015/03/23,70,84,59,2015/03/28,1016.0,79.3
467080,宜蘭,2015,3,2015/03,18.9,29.3,2015/03/31,11.8,2015/03/11,236,13,8.1,2015/03/27,330,13.8,2015/03/27,340,83,55,2015/03/03,1018.2,84.7
467110,金門,2015,3,2015/03,15.8,25.5,2015/03/14,8.5,2015/03/05,28.1,12,9.5,2015/03/09,70,20.4,2015/03/09,70,74,34,2015/03/22,1016.9,80.4
467300,東吉島,2015,3,2015/03,20.8,27.2,2015/03/31,16.1,2015/03/12,51.9,4,18.0,2015/03/24,10,24.4,2015/03/24,10,79,66,2015/03/29,1012.6,124.9
467350,澎湖,2015,3,2015/03,20.4,28.5,2015/03/16,15.0,2015/03/12,40.3,4,10.9,2015/03/10,40,21.9,2015/03/10,30,79,59,2015/03/29,1016.7,109.3
467410,臺南,2015,3,2015/03,21.8,29.4,2015/03/30,14.5,2015/03/02,5.1,2,9.3,2015/03/23,40,16.5,2015/03/23,20,75,42,2015/03/29,1014.5,189.6
467440,高雄,2015,3,2015/03,23.6,29.7,2015/03/27,17.0,2015/03/11,0,0,6.5,2015/03/15,180,12.2,2015/03/23,320,72,55,2015/03/27,1016.6,204.6
467480,嘉義,2015,3,2015/03,20.9,33.2,2015/03/19,13.9,2015/03/11,7.3,6,7.6,2015/03/23,10,13.8,2015/03/23,20,79,42,2015/03/19,1014.2,136.5
467490,臺中,2015,3,2015/03,20.7,34.7,2015/03/19,13.0,2015/03/11,24.8,10,5.6,2015/03/09,350,11.4,2015/03/09,10,74,28,2015/03/19,1007.6,143.7
467530,阿里山,2015,3,2015/03,10.4,19.4,2015/03/19,1.9,2015/03/13,41,7,5.0,2015/03/09,350,10.6,2015/03/09,340,82,38,2015/03/20,767.1,139.6
467540,大武,2015,3,2015/03,22.5,30.6,2015/03/31,16.6,2015/03/13,13.5,6,8.3,2015/03/09,30,15.2,2015/03/09,30,74,55,2015/03/27,1016.8,107.9
467550,玉山,2015,3,2015/03,2.3,18.9,2015/03/20,-7.5,2015/03/13,12.9,3,14.0,2015/03/18,280,22.5,2015/03/03,280,81,12,2015/03/20,643.1,126.6
467571,新竹,2015,3,2015/03,18.3,29.1,2015/03/31,11.3,2015/03/11,132.7,15,7.7,2015/03/24,20,18.8,2015/03/24,50,83,46,2015/03/29,1015.0,109.6
467590,恆春,2015,3,2015/03,23.8,30.9,2015/03/31,17.9,2015/03/14,0.1,1,12.7,2015/03/24,40,26.1,2015/03/24,20,68,46,2015/03/14,1014.8,183.2
467610,成功,2015,3,2015/03,21.1,28.2,2015/03/09,15.1,2015/03/01,92.9,21,10.7,2015/03/03,190,16.3,2015/03/03,190,79,57,2015/03/13,1013.4,59.5
467620,蘭嶼,2015,3,2015/03,20.2,26.0,2015/03/31,15.2,2015/03/10,176.5,19,20.5,2015/03/04,10,28.4,2015/03/10,360,85,63,2015/03/21,980.3,85.6
467650,日月潭,2015,3,2015/03,17.4,31.2,2015/03/19,10.2,2015/03/13,20,6,3.5,2015/03/23,80,7.7,2015/03/04,210,83,31,2015/03/19,904.9,127.9
467660,臺東,2015,3,2015/03,22.2,29.0,2015/03/31,16.3,2015/03/02,55.7,11,5.7,2015/03/09,50,15.0,2015/03/09,40,74,52,2015/03/14,1016.9,103.2
467990,馬祖,2015,3,2015/03,12.8,26.8,2015/03/31,5.9,2015/03/05,46,14,11.7,2015/03/18,220,22.6,2015/03/18,220,84,36,2015/03/13,1009.7,94.1
466880,板橋,2015,4,2015/04,22.6,33.9,2015/04/06,11.2,2015/04/15,79.4,10,6.8,2015/04/25,60,13.6,2015/04/25,60,74,21,2015/04/15,1013.0,134.2
466900,淡水,2015,4,2015/04,21.8,33.5,2015/04/06,12.6,2015/04/15,89.5,10,6.3,2015/04/07,20,12.6,2015/04/07,20,77,33,2015/04/15,1012.5,142.1
466910,鞍部,2015,4,2015/04,16.8,27.7,2015/04/06,7.0,2015/04/14,119.8,13,8.2,2015/04/20,70,17.9,2015/04/19,340,85,24,2015/04/14,922.2,124.1
466920,臺北,2015,4,2015/04,22.7,34.5,2015/04/06,13.6,2015/04/15,87.6,10,8.6,2015/04/07,70,17.6,2015/04/20,80,75,20,2015/04/15,1011.2,112.9
466930,竹子湖,2015,4,2015/04,18.5,30.1,2015/04/05,9.6,2015/04/14,96.5,11,8.9,2015/04/25,20,19.8,2015/04/20,20,80,24,2015/04/15,945.9,139.0
466940,基隆,2015,4,2015/04,21.6,32.2,2015/04/19,12.4,2015/04/15,137.7,13,10.7,2015/04/20,230,20.6,2015/04/20,250,76,28,2015/04/14,1011.7,106.4
466950,彭佳嶼,2015,4,2015/04,20.4,28.2,2015/04/06,10.6,2015/04/14,72.3,14,18.7,2015/04/20,280,23.6,2015/04/20,290,82,42,2015/04/14,1003.4,136.3
466990,花蓮,2015,4,2015/04,22.9,30.2,2015/04/20,16.3,2015/04/14,57,16,11.2,2015/04/18,190,17.0,2015/04/18,170,82,49,2015/04/14,1012.4,110.0
467050,新屋,2015,4,2015/04,21.5,30.6,2015/04/06,11.5,2015/04/15,104,10,14.6,2015/04/20,230,23.6,2015/04/19,220,84,35,2015/04/15,1012.0,146.4
467060,蘇澳,2015,4,2015/04,22.1,30.2,2015/04/06,14.9,2015/04/15,84.1,13,9.1,2015/04/18,170,18.9,2015/04/20,80,81,29,2015/04/14,1011.8,110.5
467080,宜蘭,2015,4,2015/04,22.0,32.3,2015/04/06,12.8,2015/04/14,75,17,8.2,2015/04/14,330,13.4,2015/04/14,320,80,24,2015/04/14,1013.8,106.9
467110,金門,2015,4,2015/04,20.0,30.7,2015/04/05,11.0,2015/04/09,72.9,9,8.4,2015/04/21,70,18.1,2015/04/21,80,74,23,2015/04/14,1012.2,167.0
467300,東吉島,2015,4,2015/04,23.5,29.7,2015/04/28,18.2,2015/04/15,35.9,3,17.5,2015/04/08,30,25.3,2015/04/08,30,77,29,2015/04/14,1009.2,234.2
467350,澎湖,2015,4,2015/04,23.5,31.6,2015/04/06,15.9,2015/04/15,72.7,5,10.3,2015/04/08,40,21.5,2015/04/08,40,76,25,2015/04/14,1013.2,196.6
467410,臺南,2015,4,2015/04,24.9,32.3,2015/04/05,16.8,2015/04/09,25.8,4,9.7,2015/04/18,200,15.3,2015/04/18,180,73,21,2015/04/14,1011.2,253.4
467440,高雄,2015,4,2015/04,26.2,31.8,2015/04/05,18.5,2015/04/15,7,4,7.9,2015/04/14,310,14.1,2015/04/14,310,70,24,2015/04/14,1013.4,259.7
467480,嘉義,2015,4,2015/04,24.1,33.6,2015/04/18,11.2,2015/04/15,108.1,5,9.7,2015/04/06,80,17.0,2015/04/06,90,76,26,2015/04/14,1010.7,229.6
467490,臺中,2015,4,2015/04,24.4,34.1,2015/04/18,12.4,2015/04/15,47.7,7,5.1,2015/04/18,240,10.3,2015/04/08,300,68,22,2015/04/14,1004.1,204.0
467530,阿里山,2015,4,2015/04,11.8,22.2,2015/04/04,-0.9,2015/04/14,123.5,8,5.1,2015/04/17,150,12.1,2015/04/21,320,75,15,2015/04/16,766.1,152.5
467540,大武,2015,4,2015/04,25.1,35.6,2015/04/20,16.8,2015/04/14,200.1,11,8.8,2015/04/03,160,15.3,2015/04/20,140,74,35,2015/04/20,1013.1,144.9
467550,玉山,2015,4,2015/04,3.6,18.4,2015/04/04,-10.1,2015/04/14,85.1,10,17.5,2015/04/06,150,25.0,2015/04/16,280,74,14,2015/04/15,642.9,167.1
467571,新竹,2015,4,2015/04,22.4,32.7,2015/04/20,12.1,2015/04/15,100.5,10,5.6,2015/04/07,20,15.6,2015/04/07,30,78,34,2015/04/14,1011.0,152.8
467590,恆春,2015,4,2015/04,25.9,32.6,2015/04/05,17.2,2015/04/14,102.8,4,9.1,2015/04/11,50,23.7,2015/04/11,60,72,35,2015/04/14,1011.6,232.5
467610,成功,2015,4,2015/04,23.6,30.4,2015/04/29,18.1,2015/04/14,69.5,19,11.0,2015/04/03,190,16.8,2015/04/18,220,79,49,2015/04/23,1009.6,91.2
467620,蘭嶼,2015,4,2015/04,22.4,27.8,2015/04/04,16.8,2015/04/13,354.6,17,21.3,2015/04/13,10,31.1,2015/04/08,10,84,58,2015/04/15,977.2,112.7
467650,日月潭,2015,4,2015/04,19.8,32.5,2015/04/05,9.0,2015/04/14,108.5,5,7.6,2015/04/21,160,12.8,2015/04/06,220,77,27,2015/04/15,902.9,184.2
467660,臺東,2015,4,2015/04,24.4,34.8,2015/04/20,17.6,2015/04/14,120.1,12,5.2,2015/04/19,200,14.2,2015/04/17,220,77,30,2015/04/20,1012.8,152.4
467990,馬祖,2015,4,2015/04,17.6,29.2,2015/04/29,8.9,2015/04/08,76.1,11,13.0,2015/04/02,200,22.7,2015/04/02,230,79,31,2015/04/14,1004.7,132.0
466880,板橋,2015,5,2015/05,26.0,35.5,2015/05/30,18.5,2015/05/05,239.4,15,7.2,2015/05/28,220,14.4,2015/05/28,190,76,43,2015/05/12,1007.8,106.2
466900,淡水,2015,5,2015/05,25.3,34.2,2015/05/29,18.4,2015/05/05,260,14,5.3,2015/05/10,30,19.9,2015/05/28,270,81,49,2015/05/12,1007.3,100.8
466910,鞍部,2015,5,2015/05,20.4,28.1,2015/05/30,12.1,2015/05/04,372.1,19,9.2,2015/05/12,350,16.6,2015/05/12,360,90,40,2015/05/12,918.6,59.7
466920,臺北,2015,5,2015/05,26.1,36.5,2015/05/30,18.1,2015/05/05,302.8,18,7.1,2015/05/10,80,14.4,2015/05/10,80,78,43,2015/05/12,1006.1,82.1
466930,竹子湖,2015,5,2015/05,22.1,30.0,2015/05/30,14.7,2015/05/05,301.3,17,8.4,2015/05/12,20,17.3,2015/05/21,30,84,56,2015/05/13,942.0,84.9
466940,基隆,2015,5,2015/05,25.4,36.0,2015/05/30,18.7,2015/05/05,262.3,18,8.5,2015/05/12,30,16.7,2015/05/28,260,78,47,2015/05/18,1006.4,101.9
466950,彭佳嶼,2015,5,2015/05,23.7,30.6,2015/05/29,17.3,2015/05/12,115,17,18.2,2015/05/28,270,23.2,2015/05/28,270,86,48,2015/05/12,998.3,112.8
466990,花蓮,2015,5,2015/05,25.6,32.3,2015/05/31,19.9,2015/05/13,173,19,8.3,2015/05/12,30,13.2,2015/05/12,30,85,54,2015/05/04,1007.5,142.8
467050,新屋,2015,5,2015/05,25.1,31.7,2015/05/28,18.0,2015/05/05,360.8,14,13.8,2015/05/30,240,21.0,2015/05/30,240,87,51,2015/05/13,1006.9,113.6
467060,蘇澳,2015,5,2015/05,25.2,32.4,2015/05/28,18.8,2015/05/05,288.3,19,8.2,2015/05/13,160,19.7,2015/05/12,50,84,50,2015/05/12,1006.8,127.6
467080,宜蘭,2015,5,2015/05,25.0,33.7,2015/05/29,18.2,2015/05/05,205.6,20,8.3,2015/05/12,320,14.4,2015/05/12,320,84,57,2015/05/13,1008.7,112.4
467110,金門,2015,5,2015/05,23.5,32.6,2015/05/31,17.2,2015/05/05,169,20,7.8,2015/05/30,270,17.4,2015/05/21,70,83,30,2015/05/12,1006.6,80.3
467300,東吉島,2015,5,2015/05,26.6,32.6,2015/05/09,21.9,2015/05/05,267.2,8,15.4,2015/05/24,220,18.7,2015/05/21,160,82,60,2015/05/13,1005.1,190.0
467350,澎湖,2015,5,2015/05,26.5,33.0,2015/05/19,22.4,2015/05/05,329.5,10,7.6,2015/05/02,190,14.1,2015/05/20,300,82,55,2015/05/13,1008.9,186.1
467410,臺南,2015,5,2015/05,27.7,33.1,2015/05/10,22.8,2015/05/21,300,14,8.1,2015/05/22,200,15.4,2015/05/25,250,80,53,2015/05/17,1007.3,189.3
467440,高雄,2015,5,2015/05,28.3,33.6,2015/05/10,24.7,2015/05/26,300.5,11,7.9,2015/05/25,280,13.2,2015/05/25,280,77,55,2015/05/21,1009.6,213.6
467480,嘉義,2015,5,2015/05,27.3,35.0,2015/05/18,22.4,2015/05/05,405.5,14,8.4,2015/05/02,250,13.3,2015/05/15,250,81,41,2015/05/18,1006.7,171.4
467490,臺中,2015,5,2015/05,26.9,34.7,2015/05/09,21.7,2015/05/20,662,15,4.7,2015/05/18,240,9.4,2015/05/18,230,77,43,2015/05/18,1000.0,120.9
467530,阿里山,2015,5,2015/05,13.9,22.5,2015/05/14,7.5,2015/05/06,1002.8,23,5.5,2015/05/20,150,14.6,2015/05/31,260,85,28,2015/05/17,764.9,106.1
467540,大武,2015,5,2015/05,27.2,37.2,2015/05/03,21.9,2015/05/21,259.8,10,8.3,2015/05/15,160,14.0,2015/05/11,40,77,37,2015/05/20,1008.4,193.8
467550,玉山,2015,5,2015/05,6.4,17.4,2015/05/15,0.9,2015/05/06,705.6,24,17.2,2015/05/10,140,22.5,2015/05/24,280,83,17,2015/05/18,642.6,116.5
467571,新竹,2015,5,2015/05,25.7,34.2,2015/05/28,18.5,2015/05/05,363.1,13,5.4,2015/05/18,280,17.6,2015/05/18,290,81,52,2015/05/18,1006.0,118.9
467590,恆春,2015,5,2015/05,27.9,33.0,2015/05/10,23.3,2015/05/13,391.8,8,7.4,2015/05/25,340,15.3,2015/05/03,280,76,59,2015/05/17,1007.8,198.8
467610,成功,2015,5,2015/05,25.7,31.7,2015/05/31,20.8,2015/05/05,183.3,18,10.2,2015/05/12,30,16.8,2015/05/12,30,83,59,2015/05/11,1004.7,121.3
467620,蘭嶼,2015,5,2015/05,24.4,27.8,2015/05/07,21.1,2015/05/04,131,13,32.4,2015/05/11,10,49.3,2015/05/11,10,87,66,2015/05/09,973.1,106.9
467650,日月潭,2015,5,2015/05,21.1,30.4,2015/05/16,17.0,2015/05/20,572.5,20,8.2,2015/05/05,290,14.4,2015/05/05,270,88,41,2015/05/18,900.3,99.1
467660,臺東,2015,5,2015/05,26.5,33.1,2015/05/30,21.4,2015/05/21,178.4,17,4.8,2015/05/12,40,11.8,2015/05/12,40,83,57,2015/05/30,1008.0,174.0
467990,馬祖,2015,5,2015/05,21.3,31.5,2015/05/03,13.6,2015/05/05,115.8,18,11.8,2015/05/15,200,22.2,2015/05/15,220,85,35,2015/05/13,999.3,90.1
466880,板橋,2015,6,2015/06,29.8,36.3,2015/06/28,24.5,2015/06/09,230.1,8,6.8,2015/06/28,230,14.4,2015/06/28,230,71,45,2015/06/08,1006.2,224.3
466900,淡水,2015,6,2015/06,29.2,35.6,2015/06/23,24.1,2015/06/08,38,6,5.0,2015/06/27,280,33.9,2015/06/24,320,76,50,2015/06/09,1005.7,226.6
466910,鞍部,2015,6,2015/06,23.7,28.8,2015/06/18,20.5,2015/06/07,43.8,8,5.5,2015/06/30,20,17.7,2015/06/28,350,89,58,2015/06/09,917.9,125.9
466920,臺北,2015,6,2015/06,30.0,37.1,2015/06/19,24.5,2015/06/21,248.3,9,8.0,2015/06/13,90,15.5,2015/06/13,120,73,47,2015/06/05,1004.3,146.9
466930,竹子湖,2015,6,2015/06,25.2,30.5,2015/06/28,21.3,2015/06/21,42.4,8,5.0,2015/06/21,20,11.8,2015/06/28,250,80,60,2015/06/18,941.2,167.7
