longitude,latitude,siteID
121.1191978,22.7492459,1260
121.5398866,25.0173093,1019
120.2529973,22.8207861,1199
121.698124,24.746127,1224
121.4759932,25.130068,1003
120.12027,23.32382,1164
121.5058537,25.1110077,1012
120.994726,23.978672,1127
120.530963,22.6126676,1207
120.41372,22.5031373,1203
121.5873841,24.9673158,1023
120.951105,24.011496,1127
120.1519532,23.3424896,1164
121.6293617,25.0684426,1269
120.4710037,23.6748938,1149
121.080575,23.999845,1127
121.522622,25.109363,1012
120.1103818,23.2358648,1169
120.5269867,23.8303583,1139
121.4489776,24.9905017,1016
120.6037765,24.1795688,1130
120.4667787,23.4604434,1161
120.9655602,23.9705955,1127
121.2110193,25.059199,1057
120.786217,23.826675,1671
120.7232952,22.0303008,1220
120.2996229,22.93285,1659
121.5693,25.0428,1270
120.309932,23.256003,1302
120.3131407,23.2751142,1167
121.260674,23.301788,1253
121.2511289,25.0750714,1049
120.92179,24.8409,1073
120.315121,22.553703,1203
120.589419,23.3019602,1159
120.5657317,22.649885,1686
121.508256,23.854035,1634
120.56192,24.3386,1116
120.693412,23.269599,1159
120.1926123,23.7264554,1683
121.6522121,25.0629371,1009
120.1357877,23.5004231,1152
121.287571,24.893106,1013
120.726642,24.1200864,1655
120.43025,23.4191849,1162
120.1542172,23.4601511,1684
120.2861255,22.6463138,1198
120.2567732,23.827756,1683
121.261224,25.075834,1048
121.5363461,24.9130912,1271
118.4104603,24.4828606,1683
120.0990629,23.2067591,1169
121.1825982,25.0145181,1056
121.8023042,24.723575,1226
120.1706868,23.326891,1164
120.6560826,23.7561637,1140
120.6048739,22.6571161,1686
120.5120617,23.8675129,1139
121.470058,25.1182626,1003
121.0081172,24.9368021,1066
121.4487773,24.9853724,1016
118.2463673,24.4304006,1683
120.197469,22.988376,1188
121.0170436,22.6873796,1264
121.219818,25.055678,1057
120.6860756,24.1813021,1298
121.6421619,25.2262663,1033
121.5318407,23.9045229,1252
121.0940755,22.8958524,1257
121.5556097,24.9040318,1271
120.487228,23.473087,1161
120.4902492,26.3633188,1058
120.2573833,23.2349133,1302
120.0656533,23.0715735,1647
121.22992,24.957149,1055
120.4864662,23.4715748,1161
120.6024814,24.2296767,1130
120.5955968,22.8343018,1338
121.4294266,23.7159257,1249
121.4910784,25.0385785,1021
121.5373179,25.020858,1019
121.537222,24.912417,1271
