longitude,latitude,siteID
121.1191978,22.7492459,62
121.5398866,25.0173093,14
120.2529973,22.8207861,48
121.698124,24.746127,65
121.4759932,25.130068,10
120.12027,23.32382,43
121.5058537,25.1110077,11
120.994726,23.978672,72
120.530963,22.6126676,59
120.41372,22.5031373,52
121.5873841,24.9673158,4
120.951105,24.011496,72
120.1519532,23.3424896,40
121.6293617,25.0684426,2
120.4710037,23.6748938,37
121.080575,23.999845,72
121.522622,25.109363,11
120.1103818,23.2358648,43
120.5269867,23.8303583,37
121.4489776,24.9905017,5
120.6037765,24.1795688,32
120.4667787,23.4604434,42
120.9655602,23.9705955,72
121.2110193,25.059199,18
120.786217,23.826675,69
120.7232952,22.0303008,61
120.2996229,22.93285,46
121.5693,25.0428,15
120.309932,23.256003,43
120.3131407,23.2751142,43
121.260674,23.301788,80
121.2511289,25.0750714,18
120.92179,24.8409,24
120.315121,22.553703,58
120.589419,23.3019602,42
120.5657317,22.649885,59
121.508256,23.854035,63
120.56192,24.3386,29
120.693412,23.269599,42
120.1926123,23.7264554,41
121.6522121,25.0629371,2
120.1357877,23.5004231,40
121.287571,24.893106,21
120.726642,24.1200864,30
120.43025,23.4191849,42
120.1542172,23.4601511,40
120.2861255,22.6463138,56
120.2567732,23.827756,85
121.261224,25.075834,18
121.5363461,24.9130912,4
118.4104603,24.4828606,77
120.0990629,23.2067591,45
121.1825982,25.0145181,18
121.8023042,24.723575,65
120.1706868,23.326891,43
120.6560826,23.7561637,69
120.6048739,22.6571161,59
120.5120617,23.8675129,35
121.470058,25.1182626,11
121.0081172,24.9368021,22
121.4487773,24.9853724,5
118.2463673,24.4304006,77
120.197469,22.988376,46
121.0170436,22.6873796,62
121.219818,25.055678,18
120.6860756,24.1813021,31
121.6421619,25.2262663,3
121.5318407,23.9045229,63
121.0940755,22.8958524,62
121.5556097,24.9040318,4
120.487228,23.473087,42
120.4902492,26.3633188,75
120.2573833,23.2349133,43
120.0656533,23.0715735,45
121.22992,24.957149,68
120.4864662,23.4715748,42
120.6024814,24.2296767,29
120.5955968,22.8343018,47
121.4294266,23.7159257,63
121.4910784,25.0385785,13
121.5373179,25.020858,14
121.537222,24.912417,4
121.6898217,25.20394,3
121.8076649,24.4510026,66
120.5802543,24.3501,29
121.500544,25.2684689,84
120.465082,22.891949,47
120.2146795,23.0007068,46
120.5502416,23.6280874,37
120.5122,23.8676,35
121.509347,25.0319891,13
118.3235264,24.4727207,77
121.4168127,25.1672977,10
121.4901853,25.1135025,11
120.6127549,24.1830316,32
120.249935,23.4608872,40
120.671662,23.313926,42
120.4861332,23.4664713,42
120.6212112,23.7263377,69
121.536269,24.990368,4
120.7399607,21.9900889,61
120.5575101,23.9552407,33
121.5607697,24.9804657,4
121.633029,25.2306241,3
121.6821751,24.9211283,4
120.4526838,23.4751858,42
118.4386361,24.433901,77
118.3233118,24.4300026,77
121.2866983,22.9557433,80
120.2832127,22.7408458,48
120.1362598,23.0028711,46
120.7458221,22.0067958,61
120.4870033,23.8570183,35
120.5431827,24.1976565,29
120.4868262,23.466165,42
118.37138,24.449616,77
121.5309548,24.9377944,4
121.2236,25.1034,18
121.4658319,25.1206684,10
121.51617,25.04737,13
120.756385,23.461309,42
121.1484852,22.7661207,62
120.902385,24.707486,25
120.7422779,21.9776335,61
120.26436,22.6142915,56
120.5225194,23.4589946,42
121.8118572,24.4594553,66
120.52318,23.8675,35
119.5555582,23.6570343,78
120.800462,23.8306891,36
121.8125663,24.4493123,66
120.4863739,24.0663715,33
120.905571,24.7819032,24
120.4712811,23.6752091,37
121.5401924,25.0155554,14
119.6614311,23.6614103,78
121.221759,25.054402,18
121.5393673,25.0634826,12
121.924205,25.0113747,1
120.5972105,24.2077413,29
120.4908974,26.3645639,75
121.923236,25.0193121,1
119.507769,23.269434,78
121.4472288,24.9851386,5
120.6159541,22.6496259,59
121.216083,24.9632787,68
120.378643,24.0274795,35
120.7309699,22.7448789,47
120.5821658,23.291024,42
120.2999875,23.0716544,44
120.7104081,24.5425496,26
120.2269767,23.493075,40
120.7788459,24.281563,28
121.491117,23.799389,63
120.7359317,21.9840517,61
120.6234066,22.412927,60
121.8184608,24.6599371,66
121.2008071,25.0972586,18
120.6795633,24.4919533,27
120.492142,26.3598114,75
120.7493323,21.9914219,61
120.7435112,21.9974296,61
120.8009677,23.82747,69
120.983144,24.931008,22
120.3390992,22.6211613,50
120.802424,23.8252372,69
121.4484202,24.9823026,5
121.0306638,25.0124967,19
121.5363,23.88868,63
120.203596,22.970461,46
120.5752227,22.5517185,60
120.840921,24.365081,27
120.135626,23.2257261,43
121.8300664,24.6835499,66
120.3072963,23.6648298,38
121.6030322,24.106402,63
120.346165,23.318248,43
120.59865,24.177785,32
121.4712596,25.1155348,11
121.6187328,23.9821993,63
120.5964635,22.6267662,60
121.5394842,25.015953,14
120.6162851,22.6385756,59
120.3418171,23.1830362,44
121.4858059,25.0332531,13
120.5224184,22.4902869,60
120.5559367,22.6367436,59
121.5138705,25.131431,11
121.339956,23.434464,80
120.4837987,23.7084475,37
120.728289,22.00308,61
120.4380972,24.0516999,34
121.4884579,25.1293557,11
121.4735985,23.7657082,63
120.5526545,22.8970594,47
120.5092427,22.6780517,59
120.186671,23.45714,40
121.2501778,25.1029858,18
121.4385688,25.0001386,5
121.2621814,25.0717301,18
120.1384592,23.5057558,40
119.9511949,26.1618766,75
120.167681,23.3584163,40
121.5643286,25.0360137,15
120.9205628,23.8738349,72
120.558182,22.4049821,60
120.94887,23.980999,72
118.410446,24.5192138,77
121.429106,25.1790877,10
120.4243733,23.6985467,38
121.8120487,24.7198046,65
121.8430191,24.6392743,66
121.5384167,25.0144996,14
122.0018703,25.0133426,1
120.484267,23.4669234,42
120.2251,22.997389,46
118.4029949,24.5072555,77
121.3501096,23.4192931,80
119.5167343,23.2598576,78
120.54558,23.612735,37
121.5538931,24.8586994,4
120.3120859,23.1829571,44
118.2969598,24.4744299,77
121.147421,25.033595,18
120.55343,23.831495,37
121.5325443,25.1001429,11
120.3756523,23.330198,43
120.2586037,23.0068198,46
120.259426,23.647138,41
120.5204034,23.7736387,37
118.412051,24.469824,77
119.9355125,25.9760321,75
120.3135914,23.3959124,43
120.3024414,22.6398241,56
121.5600152,25.0785588,15
121.531339,25.0296815,14
120.4607865,23.4581214,42
121.5413436,25.0468852,12
120.6114721,22.6445117,59
121.550439,24.98273,4
121.5351733,25.0261537,14
121.4235951,24.98666,5
121.4356935,25.1583176,10
120.6348259,23.7268922,69
120.4421136,22.6506824,59
120.48425,23.47149,42
121.0306867,24.9542885,22
120.165651,23.314505,43
120.9564471,23.9800325,72
120.165119,23.484657,40
120.6638378,24.1541498,31
118.3021116,24.4579904,77
120.1229083,23.2661021,43
121.489563,22.6607496,62
121.8272523,24.7113576,65
120.4509483,23.4749984,42
120.3703845,23.4623999,42
120.5460069,24.3104351,29
118.3123469,24.4707091,77
121.5367443,23.6519637,63
121.4461537,25.205652,10
120.7426389,24.1827026,28
121.1916262,25.0494007,18
121.9184268,25.0159652,1
119.9602661,26.165685,75
121.5398226,25.1131676,11
120.4860614,26.3668741,75
120.187332,23.007762,46
121.811353,24.836469,65
120.3106892,22.7330049,53
120.5119407,23.4594277,42
120.9693992,23.9435543,72
120.147833,23.507595,40
120.29438,22.895372,46
121.267057,22.984771,80
121.5920314,25.0431763,15
121.16041,25.03233,18
121.7966008,24.8246191,65
121.0236311,23.1862037,80
120.3146014,22.5540466,58
121.4902563,25.1132329,11
120.258406,23.761214,83
120.478863,22.515348,51
120.5870508,23.2976322,42
121.1692911,24.9779949,20
121.6327456,25.2331803,3
119.6721377,23.2564257,78
120.2131316,23.3329666,43
121.5361476,25.0299282,14
120.2345346,22.976762,46
120.1239682,23.2671496,43
121.1818432,25.0900798,18
120.910635,24.8110443,24
120.99632,23.9768367,72
121.6098534,23.9657393,63
121.4248634,25.1813713,10
121.5524769,25.0695845,12
120.2079391,22.9847874,46
120.471102,23.6748526,37
119.9778554,25.9665045,75
120.5081964,22.711075,59
121.4097473,25.1667169,10
121.208239,25.084658,18
121.5547273,23.9861595,63
120.283829,23.872359,85
121.5699649,24.9823334,4
120.2864227,22.6592831,54
120.3552105,24.0119141,35
120.9175068,24.793566,24
120.376296,22.6158463,50
121.5541559,23.8943173,63
120.574683,23.596294,37
121.2339527,25.0972187,18
120.4623562,23.4765272,42
120.2079821,22.9847874,46
121.5628946,25.0367766,15
120.9196016,24.8249477,24
120.471,23.6750933,37
121.5458835,23.8988932,63
121.2546859,25.0784719,18
120.2280072,22.9495554,46
120.235367,23.005872,46
121.5953775,24.0205219,63
120.6824836,23.7601327,69
121.5548117,25.0704824,12
118.4083579,24.4699536,77
121.19792,25.08236,18
120.50406,23.663315,37
121.4232481,24.9735514,5
121.8333864,24.5211676,66
120.604777,22.6574332,59
121.177587,25.082468,18
120.1689076,23.3340742,43
121.5626043,25.0429705,15
120.433363,23.46733,42
120.5125462,23.8681948,35
120.3686571,23.6309213,39
121.6406733,25.2311614,3
118.3092141,24.4282589,77
118.2231045,24.4146215,77
121.587688,23.960251,63
120.7354938,24.1624923,30
120.0870786,23.2110724,45
120.1475332,23.5110876,40
121.3683701,24.9426197,17
120.6455843,24.1599537,31
121.255031,25.07752,18
120.8431721,24.1312452,30
121.2245813,25.1044555,18
120.6051827,22.6573051,59
121.4914781,25.0306087,13
120.4248031,23.9767233,35
121.5319308,25.009881,14
121.6060781,23.9370198,63
120.5422539,23.9098979,35
121.1027455,25.0193121,19
120.5740317,22.5909483,60
120.106844,23.2577924,43
120.2284715,23.4627807,40
121.252019,25.105556,18
121.4577029,24.9774358,5
121.4506119,25.0898159,8
120.7984843,23.8350239,36
121.200206,25.085431,18
120.1985689,22.8832641,46
119.9745591,26.2183949,75
121.2513076,25.1002216,18
121.2984244,24.9628727,17
121.553065,25.0205902,14
121.801815,24.8037467,65
120.1473,23.513,40
120.321784,23.251273,43
120.904563,23.83333,72
120.524495,23.42982,42
120.6289494,24.1355386,31
120.2212965,23.0148498,46
120.7403819,24.1805372,28
120.5009528,23.5797907,42
120.1989933,23.7209358,41
121.041026,24.9862,19
120.4710913,23.6749026,37
120.653251,24.051379,30
120.2358549,23.4399421,40
120.4685426,22.4716254,52
120.3149386,23.2091711,43
120.4930916,23.6517561,37
121.6054861,24.0764528,63
120.6504833,24.217574,32
121.662619,24.143456,63
121.8161899,24.7238375,65
118.3843803,24.4471496,77
120.3244967,23.9606867,35
118.4380941,24.4510114,77
120.557549,24.3257274,29
121.465229,25.110433,8
118.3348532,24.4500867,77
118.4225321,24.4354287,77
121.6187596,25.0537095,2
121.5021908,25.0154426,70
120.422654,22.817678,47
120.6878329,24.5035547,26
120.4805581,22.4326576,52
120.584295,23.314998,42
120.134242,23.489903,40
121.224143,25.092493,18
120.4893994,22.4390356,52
120.2078319,22.9818736,46
121.8276462,24.7250998,65
118.2916403,24.4703732,77
121.469229,25.1195062,11
120.525335,23.6539333,37
121.5594701,25.0784969,15
120.452671,23.494186,42
120.627261,23.303657,42
118.2288659,24.4208641,77
118.4257722,24.4395702,77
120.61614,23.7968,69
121.2022716,25.0761732,18
120.709368,24.494805,27
121.5945554,25.0443944,15
120.6680477,23.5390792,37
121.2487595,25.0725899,18
120.5432367,23.2416714,43
121.1054947,23.9708959,72
120.2063584,22.9839857,46
120.2110326,22.9699482,46
120.2518764,22.8255327,48
120.4331442,22.513735,52
120.1666,23.0226,45
120.2675061,23.2203866,43
121.258003,25.090675,18
120.6335203,24.314475,29
120.671627,23.538821,37
120.3601518,24.0075873,35
120.7309892,24.1123742,30
121.5107149,25.0303705,70
120.8018034,23.8297574,36
120.473943,22.4349468,52
121.5227365,25.0170177,70
118.241284,24.43245,77
120.0811565,23.1036423,45
120.4369105,23.7540206,38
121.5531861,24.9797387,4
120.3522858,22.9288102,46
121.3250631,25.0040703,17
121.5693101,25.0731249,15
120.5228,23.8781,35
121.5442879,22.0477718,61
120.72068,22.07971,61
120.4936189,23.7345429,37
121.7410167,24.746813,65
120.435896,23.471664,42
121.189754,25.0235108,18
121.6242501,25.0820698,2
121.3792411,24.4282082,23
121.2034936,25.0763985,18
120.6051287,22.4903341,60
120.4711438,23.6748713,37
121.6983715,25.2122382,3
120.528647,23.213727,43
120.586255,23.298627,42
120.596956,22.6449276,59
118.244683,24.43046,77
120.837924,24.5683305,26
120.347371,23.568498,39
121.86662,24.5823,66
121.5189868,25.0542116,16
120.104833,23.202907,45
121.2308377,25.0938636,18
120.2850366,22.7781204,48
120.1845805,23.7294413,41
120.8401782,21.9906966,61
120.2534713,23.0383194,45
120.2611971,22.6190024,56
120.6052279,22.6404717,59
118.4233446,24.5125991,77
120.3435087,23.1662449,44
